Name,Value,DataType
ControllerVersionGrade5,4.5.16,Version
APMAgentVersionGrade2,4.2,Version
APMAgentVersionGrade3,4.3,Version
APMAgentVersionGrade4,4.4,Version
APMAgentVersionGrade5,4.5,Version
APMApplicationNameLengthGrade2,60,Integer
APMApplicationNameLengthGrade3,50,Integer
APMApplicationNameLengthGrade4,40,Integer
APMApplicationNameLengthGrade5,30,Integer
APMBackendCountGrade2,2000,Integer
APMBackendCountGrade3,1500,Integer
APMBackendCountGrade4,1000,Integer
APMBackendCountGrade5,500,Integer
APMBackendErrorRateGrade2,80,Integer
APMBackendErrorRateGrade3,60,Integer
APMBackendErrorRateGrade4,40,Integer
APMBackendErrorRateGrade5,20,Integer
APMBTCountGrade3,500,Integer
APMBTCountGrade4,300,Integer
APMBTCountGrade5,200,Integer
APMBusinessTransactionErrorRateGrade2,80,Integer
APMBusinessTransactionErrorRateGrade3,60,Integer
APMBusinessTransactionErrorRateGrade4,40,Integer
APMBusinessTransactionErrorRateGrade5,20,Integer
APMEntityNameEnvironmentRegex,(production|prod|qa|test|tst|nonprod|perf|performance|sit|clt|dev|uat|poc|pov|demo|stage|stg|int|integration),String
APMMachineAgentVersionGrade2,4.2,Version
APMMachineAgentVersionGrade3,4.3,Version
APMMachineAgentVersionGrade4,4.4,Version
APMMachineAgentVersionGrade5,4.5,Version
APMNodeNameWarningCharacters,` |\/?&,String
APMTierCountGrade2,100,Integer
APMTierCountGrade3,50,Integer
APMTierCountGrade4,40,Integer
APMTierErrorRateGrade2,80,Integer
APMTierErrorRateGrade3,60,Integer
APMTierErrorRateGrade4,40,Integer
APMTierErrorRateGrade5,20,Integer
APMTierNameLengthGrade2,60,Integer
APMTierNameLengthGrade3,50,Integer
APMTierNameLengthGrade4,40,Integer
APMTierNameLengthGrade5,30,Integer
APMTierNameWarningCharacters,` |\/?&,String
ApplicationErrorPercentageCritical,80,Decimal
ApplicationErrorPercentageWarning,50,Decimal
BusinessTransactionErrorPercentageCritical,80,Decimal
BusinessTransactionErrorPercentageWarning,50,Decimal
ControllerSetting.demo.application.custom.metric.registration.limit,10000,Integer
ControllerSetting.demo.application.metric.registration.limit,100000,Integer
ControllerSetting.demo.async.thread.tracking.registration.limit,1000,Integer
ControllerSetting.demo.backend.registration.limit,100000,Integer
ControllerSetting.demo.collections.ADD.registration.limit,4000,Integer
ControllerSetting.demo.error.registration.limit,4000,Integer
ControllerSetting.demo.events.buffer.size,8,Integer
ControllerSetting.demo.memory.ADD.registration.limit,4000,Integer
ControllerSetting.demo.metric.registration.limit,100000,Integer
ControllerSetting.demo.metrics.buffer.size,8,Integer
ControllerSetting.demo.process.snapshots.buffer.size,8,Integer
ControllerSetting.demo.sep.ADD.registration.limit,4000,Integer
ControllerSetting.demo.snapshots.buffer.size,8,Integer
ControllerSetting.demo.stacktrace.ADD.registration.limit,4000,Integer
ControllerSetting.demo.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.dev.application.custom.metric.registration.limit,10000,Integer
ControllerSetting.dev.application.metric.registration.limit,100000,Integer
ControllerSetting.dev.async.thread.tracking.registration.limit,1000,Integer
ControllerSetting.dev.backend.registration.limit,100000,Integer
