ClassPrefix,FrameworkType,FlameGraphColorStart,FlameGraphColorEnd,TextColor
ActivityFeeds,Microsoft Dynamics CRM,ED5139,E8998D,000000
Amazon.Runtime,Amazon Core,FF9900,FBBB5B,000000
antlr,ANTLR Parser,a265b8,b47bc9,000000
AngleSharp,AngleSharp DOM Parser,a265b8,b47bc9,000000
ASP,.NET ASP.NET,6197FF,94C9FF,000000
Aspose.Pdf,Aspose Components,a16f6f,b87b7b,FFFFFF
Asynchronous,.NET ASP.NET,6197FF,94C9FF,000000
Autofac,Autofac IoC,140fb8,1c15d6,FFFFFF
AutoMapper,AutoMapper,bba6bf,d7c3db,000000
Castle,Castle Project,e09b9b,fab9b9,000000
ch.qos.logback,Logback,ff875e,ff9a78,000000
com.amazonaws,Amazon Core,FF9900,FBBB5B,000000
com.amazonaws.AmazonWebServiceClient,Amazon Web Service Client,FF9900,FBBB5B,000000
com.amazonaws.auth,Amazon Auth,FF9900,FBBB5B,000000
com.amazonaws.http,Amazon Http,FF9900,FBBB5B,000000
com.amazonaws.services.sns,Amazon SNS,FF9900,FBBB5B,000000
com.amazonaws.services.sqs,Amazon SQS,FF9900,FBBB5B,000000
com.appdynamics,AppDynamics,7668CF,978FCF,FFFFFF
com.appdynamicspilot,AppDynamics,7668CF,978FCF,FFFFFF
com.arjuna.ats,JBoss Arjuna,99a30d,acb52a,000000
com.aspose,Aspose Components,99a30d,acb52a,000000
com.atomikos,Atomicos Transactions,f2a427,f7b243,000000
com.autofact,Autofac IoC,194970,1e5785,FFFFFF
com.bea,BEA Core,bcccc6,d5e3de,000000
com.blazesoft,FICO BlazeAdvisor,a9b85e,c4d667,000000
com.blazesoft.engines,FICO BlazeAdvisor Rules Engine,a9b85e,c4d667,000000
com.ca.siteminder,Siteminder CA,fca644,fca760,000000
com.cisco.webex,Cisco Webex,418521,4B9E24,FFFFFF
com.crossview.commerce,IBM WebSphere Commerce,00BFA9,35CCBA,000000
com.ctc.wstx,Sun Woodstox,fcf644,fcf760,000000
com.couchbase,Couchbase DB,a9b85e,c4d667,000000
com.cybersource,CyberSource ECommerce,140fb8,1c15d6,FFFFFF
com.dassault_systemes,3DS,ff1919,ff5959,FFFFFF
com.datastax,DataStax Cassandra Driver,36ffc3,9ffce0,000000
com.dynatrace,Dynatrace,7668CF,978FCF,FFFFFF
com.entrust,Entrust ECommerce,bcccc6,d5e3de,000000
com.esotericsoftware.kryo,EsotericSoftware Kryo,ad5fc9,c169e0,000000
com.exalead,3DS EXALEAD,ff1919,ff5959,FFFFFF
com.farmers,Farmers Insurance,624BD1,7056F0,FFFFFF
com.fasterxml.jackson,Jackson Core,C2961D,E3B022,000000
com.fasterxml.jackson.annotation,Jackson Annotation,C2961D,E3B022,000000
com.fasterxml.jackson.core,Jackson Core,C2961D,E3B022,000000
com.fasterxml.jackson.databind,Jackson DataBind,C2961D,E3B022,000000
com.filenet,FileNet,98b023,b3cc33,000000
com.github.dozermapper,Dozer JavaBean Mapper,62A3D1,62A3FF,FFFFFF
com.google,Google Core,FBBC05,FCD049,000000
com.guidewire,Guidewire,BA90FC,C5A7FC,000000
com.hybris,SAP Hybris,0069B6,00A6E8,FFFFFF
de.hybris,SAP Hybris,0069B6,00A6E8,FFFFFF
com.ibatis,Ibatis ORM,60bfb4,79e0d4,000000
com.ibm,IBM Core,00BFA9,35CCBA,000000
com.inet.ora,Inet Oracle JDBC Driver,36ffc3,9ffce0,000000
com.informatica,Informatica,62a9e3,6db9f7,000000
com.informix,Informix,6ae6b6,7ff5c8,000000
com.matrixone,3DS MatrixOne,ff1919,ff5959,FFFFFF
com.mchange.v2.c3p0,c3p0 JDBC Driver,36ffc3,9ffce0,000000
com.mchange.v2.resourcepool,c3p0 JDBC Driver Pooling,36ffc3,9ffce0,000000
com.microsoft,Microsoft,00A1F1,4FBAF0,000000
com.microsoft.sqlserver,Microsoft SQL Server Driver,00A1F1,4FBAF0,000000
com.mongodb,Mongo DB,633838,854949,FFFFFF
com.mule,Mule ESB,e3b2ed,f4cafc,000000
com.mysql,MySQL Driver,36ffc3,9ffce0,000000
com.newrelic,NewRelic,7668CF,978FCF,FFFFFF
com.nimbusds,NimbusDS,fcf644,fcf760,000000
com.opensymphony,OpenSymphony J2EE,558c07,6aa813,FFFFFF
com.oracle,Oracle Core,f80000,fa3434,FFFFFF
com.paypal,PayPal,70dbb9,88ebcb,000000
